gene,ensg,n_directions,in_cytokine,in_polarization,in_context,in_network
MAU2,ENSG00000129933,1,False,False,True,False
MAX,ENSG00000125952,2,True,False,False,True
MBD2,ENSG00000134046,1,True,False,False,False
MBD3,ENSG00000071655,1,True,False,False,False
MBTPS1,ENSG00000140943,1,True,False,False,False
MCM8,ENSG00000125885,1,True,False,False,False
MCTS1,ENSG00000232119,1,True,False,False,False
MCUR1,ENSG00000050393,1,False,False,True,False
MDM4,ENSG00000198625,1,True,False,False,False
ME3,ENSG00000151376,2,True,False,True,False
MEAF6,ENSG00000163875,1,True,False,False,False
MED1,ENSG00000125686,2,True,False,True,False
MED12,ENSG00000184634,3,True,True,False,True
MED13,ENSG00000108510,1,True,False,False,False
MED15,ENSG00000099917,2,True,False,False,True
MED23,ENSG00000112282,1,True,False,False,False
MED24,ENSG00000008838,3,True,True,False,True
MEN1,ENSG00000133895,3,True,True,False,True
MEST,ENSG00000106484,2,True,False,True,False
METAP2,ENSG00000111142,1,True,False,False,False
METTL1,ENSG00000037897,2,True,True,False,False
METTL17,ENSG00000165792,1,False,False,True,False
METTL3,ENSG00000165819,1,False,False,True,False
MFSD6,ENSG00000151690,2,True,False,True,False
MIA2,ENSG00000150527,2,True,False,False,True
MICOS13,ENSG00000174917,1,False,False,True,False
MIGA2,ENSG00000148343,1,False,False,True,False
MIOS,ENSG00000164654,1,True,False,False,False
MIPEP,ENSG00000027001,2,True,False,False,True
MITD1,ENSG00000158411,1,False,False,True,False
MKNK2,ENSG00000099875,1,True,False,False,False
MLKL,ENSG00000168404,1,False,False,True,False
MLLT3,ENSG00000171843,1,False,False,True,False
MLST8,ENSG00000167965,1,True,False,False,False
MMAB,ENSG00000139428,1,True,False,False,False
MMGT1,ENSG00000169446,2,True,False,True,False
MORF4L1,ENSG00000185787,1,False,False,True,False
MOV10,ENSG00000155363,1,True,False,False,False
MPG,ENSG00000103152,2,True,False,True,False
MPI,ENSG00000178802,2,True,False,False,True
MSH2,ENSG00000095002,1,True,False,False,False
MTA2,ENSG00000149480,3,True,True,False,True
MTCH2,ENSG00000109919,2,True,False,True,False
MTERF2,ENSG00000120832,1,False,True,False,False
MTG1,ENSG00000148824,3,True,False,True,True
MTHFD1,ENSG00000100714,1,True,False,False,False
MTHFD1L,ENSG00000120254,1,False,False,True,False
MTHFD2,ENSG00000065911,1,False,False,True,False
MTIF2,ENSG00000085760,1,False,False,True,False
MTMR10,ENSG00000166912,1,False,False,True,False
MTPAP,ENSG00000107951,2,True,False,True,False
MTX2,ENSG00000128654,2,False,True,True,False
MUC1,ENSG00000185499,1,True,False,False,False
MYB,ENSG00000118513,1,True,False,False,False
MYC,ENSG00000136997,2,True,False,True,False
MYH9,ENSG00000100345,1,True,False,False,False
N6AMT1,ENSG00000156239,2,True,False,True,False
NAA20,ENSG00000173418,1,True,False,False,False
NAA25,ENSG00000111300,1,False,False,True,False
NAA30,ENSG00000139977,2,True,False,False,True
NAA40,ENSG00000110583,1,True,False,False,False
NAB2,ENSG00000166886,2,False,True,True,False
NADK2,ENSG00000152620,1,False,False,True,False
NAF1,ENSG00000145414,2,True,False,True,False
NARS2,ENSG00000137513,1,False,False,True,False
NATD1,ENSG00000274180,1,False,False,True,False
NCAPD3,ENSG00000151503,1,False,False,True,False
NCAPG2,ENSG00000146918,2,True,False,False,True
NCBP3,ENSG00000074356,1,True,False,False,False
NCKAP1L,ENSG00000123338,2,True,False,False,True
NCOA5,ENSG00000124160,1,False,True,False,False
NCOA6,ENSG00000198646,1,True,False,False,False
NCR3,ENSG00000204475,1,False,False,True,False
NDFIP2,ENSG00000102471,2,True,False,True,False
NDRG1,ENSG00000104419,2,True,False,True,False
NDUFA3,ENSG00000170906,1,False,False,True,False
NDUFA6,ENSG00000184983,1,False,False,True,False
NDUFA9,ENSG00000139180,2,True,False,True,False
NDUFAF3,ENSG00000178057,3,True,False,True,True
NDUFAF5,ENSG00000101247,1,False,False,True,False
NDUFAF6,ENSG00000156170,1,False,False,True,False
NDUFB2,ENSG00000090266,1,False,False,True,False
NDUFB3,ENSG00000119013,1,True,False,False,False
NDUFB4,ENSG00000065518,1,False,False,True,False
