gene,ensg,condition,Th1_score,Th2_score,Th17_score,Treg_score,Tfh_score,Th1_vs_Th2,Effector_vs_Treg,z_Th1_vs_Th2,z_Effector_vs_Treg,max_abs_z,primary_axis,shift_label,therapeutic_direction,n_sig_program_markers,ontarget_effect_size,n_downstream
DARS1,ENSG00000115866,Stim8hr,-1.3728,0.343,-0.5636,0.0622,0.4314,-1.7158,-0.5934,-2.4371,-1.0668,2.4371,Th1_vs_Th2,→Th2,skew-Th2,3,-3.3006,39
NAPG,ENSG00000134265,Stim8hr,0.7142,0.7156,-0.2099,-0.879,0.3664,-0.0014,1.2857,-0.1978,2.4368,2.4368,Effector_vs_Treg,→Effector,boost-immunity,0,-12.4147,0
CHIC2,ENSG00000109220,Rest,0.912,-0.8708,-0.2157,-0.3299,0.6749,1.7828,0.2717,2.4336,0.7194,2.4336,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-25.4332,31
TSC1,ENSG00000165699,Rest,-0.7117,0.3219,-0.0877,-1.1171,-0.822,-1.0335,0.9579,-1.4138,2.4333,2.4333,Effector_vs_Treg,→Effector,boost-immunity,5,-9.0576,1675
ENTPD7,ENSG00000198018,Stim48hr,-1.6211,-0.0323,-0.1329,-0.5351,0.0529,-1.5889,-0.0603,-2.4318,-0.0321,2.4318,Th1_vs_Th2,→Th2,skew-Th2,0,-9.1869,2
ELOB,ENSG00000103363,Stim8hr,1.2238,-0.2502,-0.2967,1.5508,0.9567,1.474,-1.3252,1.7295,-2.4313,2.4313,Effector_vs_Treg,→Treg,suppress-inflammation,13,-23.5323,3051
PASK,ENSG00000115687,Stim8hr,0.1614,0.9146,-0.216,-0.9958,0.6254,-0.7532,1.2825,-1.1797,2.4308,2.4308,Effector_vs_Treg,→Effector,boost-immunity,0,-4.4613,6
STIP1,ENSG00000168439,Stim8hr,0.1416,-1.0232,0.136,-1.531,0.38,1.1648,1.2824,1.3256,2.4308,2.4308,Effector_vs_Treg,→Effector,boost-immunity,5,-17.3972,1007
TESK1,ENSG00000107140,Stim8hr,0.606,-1.4049,-0.1429,-0.621,0.2451,2.0109,0.3071,2.4307,0.6122,2.4307,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-13.2099,0
FAM50B,ENSG00000145945,Stim48hr,-0.6401,0.9463,-0.105,0.7277,-0.3387,-1.5864,-0.6606,-2.4281,-1.073,2.4281,Th1_vs_Th2,→Th2,skew-Th2,0,-9.1366,2
AGFG2,ENSG00000106351,Rest,0.7979,-0.9804,-0.1801,0.1899,-0.0376,1.7783,-0.3108,2.4275,-0.7354,2.4275,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-8.5078,0
SLFN11,ENSG00000172716,Stim48hr,0.091,-0.8048,-0.1215,-1.6357,-0.464,0.8958,1.3572,1.2486,2.4257,2.4257,Effector_vs_Treg,→Effector,boost-immunity,0,-22.8894,0
LARP4B,ENSG00000107929,Stim48hr,0.1491,-0.2509,-0.6128,1.202,0.3157,0.4,-1.4402,0.5142,-2.4246,2.4246,Effector_vs_Treg,→Treg,suppress-inflammation,0,-9.9103,12
NKG7,ENSG00000105374,Rest,-0.4641,-0.2771,-0.1542,0.6886,-0.1967,-0.187,-0.9871,-0.2573,-2.4245,2.4245,Effector_vs_Treg,→Treg,suppress-inflammation,0,-11.3875,1
NAPG,ENSG00000134265,Stim48hr,0.3242,-1.365,-0.4375,-1.3657,-0.4701,1.6892,0.8729,2.4239,1.5859,2.4239,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-11.3098,12
G3BP2,ENSG00000138757,Rest,-0.7956,0.9756,0.2199,0.7709,0.0206,-1.7712,-0.6376,-2.4215,-1.5516,2.4215,Th1_vs_Th2,→Th2,skew-Th2,0,-27.2627,4
CSDE1,ENSG00000009307,Rest,1.0697,-0.7019,-0.4758,0.5353,-0.6239,1.7715,-0.5713,2.4183,-1.3862,2.4183,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),5,-25.9376,1813
CD99L2,ENSG00000102181,Stim8hr,-1.0124,0.6888,-0.498,-0.2079,0.3221,-1.7012,-0.066,-2.418,-0.0835,2.418,Th1_vs_Th2,→Th2,skew-Th2,1,-7.5108,49
DAPK2,ENSG00000035664,Stim48hr,-0.9703,-0.2357,0.0199,-1.7481,-0.4044,-0.7346,1.3527,-1.1664,2.4178,2.4178,Effector_vs_Treg,→Effector,boost-immunity,4,-2.3611,349
CAMSAP1,ENSG00000130559,Stim48hr,0.0052,-1.2099,-0.501,0.8672,-1.0763,1.2151,-1.4358,1.7216,-2.4169,2.4169,Effector_vs_Treg,→Treg,suppress-inflammation,5,-3.6016,517
YEATS2,ENSG00000163872,Stim48hr,0.5147,-1.1694,0.4505,0.5199,-0.299,1.684,-0.588,2.4163,-0.947,2.4163,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),6,-5.6167,697
THRA,ENSG00000126351,Stim48hr,0.1127,-0.049,-0.692,-1.5611,-0.1984,0.1617,1.3517,0.1612,2.416,2.416,Effector_vs_Treg,→Effector,boost-immunity,0,-4.5936,100
MAP1LC3B,ENSG00000140941,Stim48hr,1.7218,0.0395,0.5732,-0.2193,0.4231,1.6823,0.9975,2.4137,1.8019,2.4137,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-18.7098,5
SOCS3,ENSG00000184557,Stim48hr,-0.3079,-1.99,-0.167,-1.0522,-0.227,1.6821,0.2306,2.4134,0.4722,2.4134,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),2,-5.6898,34
SPATA24,ENSG00000170469,Stim48hr,-0.714,0.8617,-0.1035,-0.0599,-0.1934,-1.5758,0.0746,-2.4124,0.2018,2.4124,Th1_vs_Th2,→Th2,skew-Th2,0,-5.7077,2
BMI1,ENSG00000168283,Stim8hr,-0.6706,1.0255,-0.4914,0.087,-0.7834,-1.6961,-0.1325,-2.4113,-0.2074,2.4113,Th1_vs_Th2,→Th2,skew-Th2,1,-11.6924,91
POLG2,ENSG00000256525,Stim48hr,-0.3319,-0.4117,0.1265,1.226,0.2504,0.0799,-1.4317,0.04,-2.4099,2.4099,Effector_vs_Treg,→Treg,suppress-inflammation,5,-3.4174,615
MBD3,ENSG00000071655,Rest,0.5688,-1.196,-0.3554,-0.5737,0.1114,1.7648,0.2461,2.409,0.6555,2.409,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-18.7766,53
KLHDC7B,ENSG00000130487,Stim8hr,1.2991,-0.6924,-0.7311,-0.0843,0.2697,1.9915,0.0429,2.4054,0.1195,2.4054,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-5.1259,2
PML,ENSG00000140464,Stim8hr,-0.1592,-0.1665,-0.6604,0.9821,-0.6513,0.0073,-1.3108,-0.1864,-2.4045,2.4045,Effector_vs_Treg,→Treg,suppress-inflammation,0,-11.0381,0
CARD6,ENSG00000132357,Stim8hr,-0.4601,-1.3021,-0.9949,0.3914,-1.0559,0.842,-1.3105,0.9039,-2.4039,2.4039,Effector_vs_Treg,→Treg,suppress-inflammation,0,-5.0936,22
CTLA4,ENSG00000163599,Stim48hr,0.0988,-1.0454,-0.6612,-1.8799,-0.198,1.1442,1.3439,1.6165,2.4026,2.4026,Effector_vs_Treg,→Effector,boost-immunity,1,-13.3031,2
ABCA3,ENSG00000167972,Stim48hr,-0.8509,-0.8822,-0.6199,0.6427,-0.2659,0.0314,-1.427,-0.0318,-2.4017,2.4017,Effector_vs_Treg,→Treg,suppress-inflammation,1,-3.5902,184
ARNT,ENSG00000143437,Rest,1.1378,-0.62,0.5668,0.0873,1.0589,1.7578,0.2742,2.3995,0.7255,2.3995,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),8,-17.6773,2319
ATF7IP,ENSG00000171681,Stim48hr,1.1397,-0.5326,0.3226,0.2084,-0.0569,1.6723,0.1014,2.3989,0.2483,2.3989,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-8.0123,73
CPEB4,ENSG00000113742,Stim48hr,-0.7444,0.8219,0.048,0.0383,-0.3967,-1.5663,0.0035,-2.3984,0.0785,2.3984,Th1_vs_Th2,→Th2,skew-Th2,0,-4.9731,3
TBC1D7,ENSG00000145979,Stim8hr,-0.0254,-0.381,-1.097,0.8053,-0.5467,0.3556,-1.3065,0.2685,-2.3964,2.3964,Effector_vs_Treg,→Treg,suppress-inflammation,0,-8.7839,3
APOL2,ENSG00000128335,Stim8hr,1.0436,-0.9385,-0.3262,-0.1676,0.2039,1.9821,0.0938,2.3931,0.2145,2.3931,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-18.5314,5
SIN3A,ENSG00000169375,Rest,-1.8869,-0.137,-0.4609,-0.5299,-0.5997,-1.7499,-0.2984,-2.3924,-0.7044,2.3924,Th1_vs_Th2,→Th2,skew-Th2,0,-10.9192,161
ID2,ENSG00000115738,Stim48hr,-0.073,-1.7408,0.6068,-1.611,-0.4913,1.6678,1.2087,2.3921,2.168,2.3921,Th1_vs_Th2,→Th1; →Effector,boost-immunity,8,-3.0907,498
IVD,ENSG00000128928,Rest,-0.6704,-0.2832,0.035,0.6673,-0.2409,-0.3872,-0.9736,-0.5308,-2.3908,2.3908,Effector_vs_Treg,→Treg,suppress-inflammation,0,-8.1847,0
SLC35B1,ENSG00000121073,Stim8hr,0.4478,-1.532,-0.6344,-0.5673,-1.0603,1.9798,-0.0055,2.3901,0.0293,2.3901,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),13,-11.6975,1541
IL21R,ENSG00000103522,Stim8hr,-0.3802,0.6032,-0.2332,1.2996,-0.4181,-0.9835,-1.303,-1.4805,-2.3898,2.3898,Effector_vs_Treg,→Treg,suppress-inflammation,2,-13.8884,74
MYC,ENSG00000136997,Stim8hr,0.7938,-1.185,0.3468,-0.5742,1.7067,1.9788,0.5594,2.3888,1.0826,2.3888,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),5,-5.6636,675
APOL2,ENSG00000128335,Stim48hr,0.0359,-1.6292,-0.0352,-0.4561,-0.5599,1.6651,-0.0868,2.3883,-0.078,2.3883,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-16.6862,1
GNB2,ENSG00000172354,Rest,0.1172,-0.3032,0.086,-0.9732,-0.5346,0.4205,0.9399,0.5725,2.3882,2.3882,Effector_vs_Treg,→Effector,boost-immunity,0,-19.1223,0
MITD1,ENSG00000158411,Stim48hr,-0.3654,-1.3724,-1.0298,0.4944,-0.5156,1.0069,-1.417,1.4133,-2.3843,2.3843,Effector_vs_Treg,→Treg,suppress-inflammation,3,-14.5792,249
PCBP2,ENSG00000197111,Stim8hr,0.6734,-1.3006,-0.0601,0.0361,-0.4329,1.9741,-0.2652,2.3826,-0.4549,2.3826,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),5,-3.7003,626
SESTD1,ENSG00000187231,Rest,-0.9126,0.6042,-0.0641,0.8458,-0.2246,-1.5168,-0.9699,-2.074,-2.3817,2.3817,Effector_vs_Treg,→Th2; →Treg,suppress-inflammation,1,-3.3654,199
KMT5B,ENSG00000110066,Rest,-0.7434,-0.4045,0.6195,-1.1131,-0.2956,-0.3389,0.937,-0.4649,2.3809,2.3809,Effector_vs_Treg,→Effector,boost-immunity,2,-15.1627,613
CNOT11,ENSG00000158435,Rest,-0.9686,0.7709,0.6436,0.44,0.7257,-1.7394,-0.2914,-2.3782,-0.6869,2.3782,Th1_vs_Th2,→Th2,skew-Th2,2,-11.1434,351
VRK2,ENSG00000028116,Stim48hr,-0.0267,1.5254,0.1264,1.3477,-0.155,-1.552,-0.806,-2.3773,-1.325,2.3773,Th1_vs_Th2,→Th2,skew-Th2,1,-8.2005,29
CLASRP,ENSG00000104859,Stim48hr,-0.4593,-1.214,0.3647,-1.7654,0.6419,0.7547,1.3293,1.0396,2.3771,2.3771,Effector_vs_Treg,→Effector,boost-immunity,6,-5.6471,361
GOLT1B,ENSG00000111711,Stim8hr,-0.1571,-2.1256,-1.0401,-0.4973,-0.0936,1.9685,-0.6103,2.3754,-1.0983,2.3754,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),4,-4.4154,84
IL10RB,ENSG00000243646,Stim8hr,-0.561,1.1065,-1.1926,0.532,0.1386,-1.6675,-0.7477,-2.374,-1.3545,2.374,Th1_vs_Th2,→Th2,skew-Th2,0,-9.3184,0
PPP2R2A,ENSG00000221914,Stim8hr,-0.2941,-1.3132,-0.3666,-1.91,-0.394,1.0191,1.252,1.1353,2.374,2.374,Effector_vs_Treg,→Effector,boost-immunity,0,-18.3741,1
SNUPN,ENSG00000169371,Stim48hr,0.5339,-1.1215,0.1565,0.2808,-0.215,1.6554,-0.4245,2.3738,-0.6635,2.3738,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),2,-6.0544,130
EI24,ENSG00000149547,Rest,1.005,-0.7329,0.2086,-0.0041,0.7209,1.7379,0.1644,2.3723,0.4513,2.3723,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-6.3991,118
CREBL2,ENSG00000111269,Stim48hr,0.0887,-0.062,0.4522,-1.1666,0.0793,0.1507,1.3262,0.1449,2.3718,2.3718,Effector_vs_Treg,→Effector,boost-immunity,0,-7.8661,8
RFXAP,ENSG00000133111,Rest,-0.82,-0.1082,-0.8079,0.3869,0.182,-0.7118,-0.9656,-0.9742,-2.3709,2.3709,Effector_vs_Treg,→Treg,suppress-inflammation,0,-7.2052,12
SLC26A2,ENSG00000155850,Stim8hr,1.4257,-0.5372,-0.4856,-0.627,0.1454,1.9629,0.7613,2.3681,1.459,2.3681,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-9.231,2
CENPV,ENSG00000166582,Stim8hr,0.9679,-0.9949,-0.9906,0.6739,-0.6934,1.9628,-1.0131,2.3679,-1.8494,2.3679,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-10.1959,9
CLCC1,ENSG00000121940,Stim8hr,0.9166,-0.2566,-0.6809,1.2836,-0.6921,1.1732,-1.2905,1.3365,-2.3667,2.3667,Effector_vs_Treg,→Treg,suppress-inflammation,5,-16.6354,679
MAU2,ENSG00000129933,Stim48hr,-0.9509,-0.0276,0.2978,-1.5496,-0.328,-0.9233,1.3226,-1.4459,2.3656,2.3656,Effector_vs_Treg,→Effector,boost-immunity,1,-2.9864,112
ISG20,ENSG00000172183,Stim8hr,0.8072,-1.1533,-0.988,-0.8798,-0.5536,1.9605,0.4351,2.3649,0.8509,2.3649,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-10.0554,1
RSBN1L,ENSG00000187257,Stim8hr,-0.6027,-0.2599,0.2578,-1.4483,0.6303,-0.3428,1.2467,-0.6437,2.3642,2.3642,Effector_vs_Treg,→Effector,boost-immunity,2,-29.1806,178
HSBP1,ENSG00000230989,Stim48hr,-0.3292,-0.9061,0.4261,-1.5911,0.1433,0.5769,1.3214,0.7763,2.3634,2.3634,Effector_vs_Treg,→Effector,boost-immunity,0,-21.0052,3
MCUB,ENSG00000005059,Stim48hr,-0.6272,0.066,-0.7504,0.9661,-0.2349,-0.6932,-1.4033,-1.1051,-2.3607,2.3607,Effector_vs_Treg,→Treg,suppress-inflammation,0,-19.352,3
SEC22C,ENSG00000093183,Stim48hr,-1.2423,0.2979,-0.3246,-0.016,-0.103,-1.5402,-0.407,-2.3597,-0.6333,2.3597,Th1_vs_Th2,→Th2,skew-Th2,0,-15.8768,2
CSPP1,ENSG00000104218,Stim8hr,-0.4527,1.2035,-0.2431,0.0477,0.5,-1.6562,0.1216,-2.3592,0.2663,2.3592,Th1_vs_Th2,→Th2,skew-Th2,0,-13.3392,0
NCBP3,ENSG00000074356,Stim8hr,0.1737,0.0484,0.5304,1.5361,-0.2854,0.1253,-1.2853,-0.0323,-2.3569,2.3569,Effector_vs_Treg,→Treg,suppress-inflammation,4,-21.2523,631
GPR171,ENSG00000174946,Stim48hr,-1.5868,-0.0488,0.5445,-0.4974,-0.014,-1.538,0.1338,-2.3565,0.3044,2.3565,Th1_vs_Th2,→Th2,skew-Th2,0,-20.3296,0
YTHDF2,ENSG00000198492,Stim8hr,1.2617,-0.6921,-0.2249,-0.4068,2.2889,1.9538,0.5217,2.3562,1.0123,2.3562,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),12,-27.674,1483
CYP4V2,ENSG00000145476,Rest,-0.4997,-0.2431,-0.0327,0.7008,-0.1364,-0.2565,-0.9593,-0.3523,-2.3552,2.3552,Effector_vs_Treg,→Treg,suppress-inflammation,2,-4.8573,264
HOXB4,ENSG00000182742,Stim8hr,-0.651,-0.8775,-0.5305,-1.9282,-1.1466,0.2265,1.2419,0.0999,2.3552,2.3552,Effector_vs_Treg,→Effector,boost-immunity,2,-5.5744,195
NR4A3,ENSG00000119508,Stim48hr,0.9902,-0.6524,0.0503,0.5562,-0.0531,1.6426,-0.4269,2.3549,-0.6677,2.3549,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),4,-1.4705,395
MTDH,ENSG00000147649,Stim48hr,1.1727,-0.4696,-0.5682,0.1133,0.3354,1.6423,-0.0684,2.3544,-0.0462,2.3544,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-26.2901,3
KAT2B,ENSG00000114166,Stim8hr,1.0111,-0.9411,-0.6802,-0.7101,0.0823,1.9522,0.5067,2.3541,0.9843,2.3541,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-9.5096,25
SLC22A18,ENSG00000110628,Stim48hr,-1.181,0.3552,-0.3391,-0.781,-0.5617,-1.5363,0.3927,-2.3539,0.7533,2.3539,Th1_vs_Th2,→Th2,skew-Th2,0,-8.7648,4
PIF1,ENSG00000140451,Rest,-1.215,0.5051,0.043,-0.1132,-0.1276,-1.7201,-0.1091,-2.3518,-0.2316,2.3518,Th1_vs_Th2,→Th2,skew-Th2,0,-8.1887,1
TESC,ENSG00000088992,Stim8hr,-0.5752,1.075,-0.0166,-0.1101,-0.0214,-1.6502,0.2712,-2.3515,0.5452,2.3515,Th1_vs_Th2,→Th2,skew-Th2,0,-16.1139,1
RUNDC1,ENSG00000198863,Rest,-1.037,0.6812,-0.5195,-0.0684,0.4706,-1.7182,-0.2233,-2.3492,-0.517,2.3492,Th1_vs_Th2,→Th2,skew-Th2,0,-9.7114,1
TADA2B,ENSG00000173011,Stim48hr,-1.6582,-1.137,1.1879,-1.848,-1.0213,-0.5212,1.3122,-0.8503,2.3476,2.3476,Effector_vs_Treg,→Effector,boost-immunity,21,-17.3345,5259
SP2,ENSG00000167182,Stim48hr,0.2522,0.2444,-0.7091,1.3249,-1.0837,0.0078,-1.3957,-0.0666,-2.3475,2.3475,Effector_vs_Treg,→Treg,suppress-inflammation,2,-12.2329,1020
MPV17,ENSG00000115204,Stim48hr,-1.0964,0.4342,-1.0065,-0.1732,-0.2669,-1.5307,-0.383,-2.3456,-0.5916,2.3456,Th1_vs_Th2,→Th2,skew-Th2,0,-23.2984,0
IL23A,ENSG00000110944,Stim48hr,-0.3581,0.2628,0.1583,1.4153,0.1241,-0.6209,-1.3944,-0.9979,-2.3452,2.3452,Effector_vs_Treg,→Treg,suppress-inflammation,1,-10.4872,3
LDB1,ENSG00000198728,Stim48hr,0.4217,-1.214,-0.4478,0.1591,-0.0616,1.6357,-0.5725,2.3446,-0.9201,2.3446,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-14.8523,4
BNIP3L,ENSG00000104765,Stim8hr,-0.0606,-0.0279,-0.1689,-1.3214,0.1859,-0.0327,1.2357,-0.2386,2.3436,2.3436,Effector_vs_Treg,→Effector,boost-immunity,0,-7.5145,2
PTPRA,ENSG00000132670,Stim48hr,-0.2343,1.2938,0.2116,-0.7353,-0.0633,-1.5281,1.159,-2.3418,2.0819,2.3418,Th1_vs_Th2,→Th2; →Effector,boost-immunity,1,-9.0954,3
RCN3,ENSG00000142552,Stim48hr,-0.553,0.9744,0.1221,0.1942,0.61,-1.5274,-0.0131,-2.3407,0.0498,2.3407,Th1_vs_Th2,→Th2,skew-Th2,0,-7.7215,1
C2orf42,ENSG00000115998,Rest,-0.5967,1.1151,-0.6455,0.2437,-0.6869,-1.7118,-0.286,-2.3404,-0.6736,2.3404,Th1_vs_Th2,→Th2,skew-Th2,0,-4.6038,0
SETDB1,ENSG00000143379,Stim8hr,0.7724,-1.1692,-0.8704,-0.141,0.06,1.9417,-0.2814,2.3404,-0.4851,2.3404,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),4,-33.9027,1308
PARP8,ENSG00000151883,Rest,0.2564,-0.4208,-0.1523,0.8473,-0.7161,0.6772,-0.9529,0.9233,-2.3391,2.3391,Effector_vs_Treg,→Treg,suppress-inflammation,1,-14.6824,14
CHCHD5,ENSG00000125611,Stim8hr,0.0283,0.103,-0.5215,1.1456,0.212,-0.0747,-1.2756,-0.2935,-2.3388,2.3388,Effector_vs_Treg,→Treg,suppress-inflammation,0,-20.361,0
ZNF622,ENSG00000173545,Stim8hr,0.4388,-1.5016,-0.0724,-1.1974,0.103,1.9404,0.819,2.3387,1.5667,2.3387,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),3,-11.9148,21
PTPRC,ENSG00000081237,Stim48hr,1.5332,0.0782,0.4541,2.079,-0.458,1.455,-1.3905,2.077,-2.3384,2.3384,Effector_vs_Treg,→Th1; →Treg,suppress-inflammation,12,-15.661,3225
STAT3,ENSG00000168610,Rest,-0.3479,0.5294,-1.0654,0.6579,0.3697,-0.8773,-0.9525,-1.2003,-2.3382,2.3382,Effector_vs_Treg,→Treg,suppress-inflammation,6,-10.3491,924
ZFYVE16,ENSG00000039319,Stim48hr,0.8979,-0.7332,-0.3524,0.69,0.2394,1.6311,-0.7526,2.3379,-1.2324,2.3379,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-13.1408,4
CD247,ENSG00000198821,Stim8hr,1.1923,-0.7465,0.0922,-0.887,-1.072,1.9388,1.0664,2.3366,2.0279,2.3366,Th1_vs_Th2,→Th1; →Effector,boost-immunity,20,-11.9335,4329
ELOB,ENSG00000103363,Rest,-1.0259,0.4652,0.3481,0.8807,0.7723,-1.4911,-0.9515,-2.039,-2.3357,2.3357,Effector_vs_Treg,→Th2; →Treg,suppress-inflammation,8,-22.6051,1490
ZNF644,ENSG00000122482,Rest,-0.3831,0.3499,0.2965,1.0392,0.4959,-0.733,-0.9515,-1.0032,-2.3356,2.3356,Effector_vs_Treg,→Treg,suppress-inflammation,2,-26.029,430
KMT2C,ENSG00000055609,Rest,-0.1858,-1.8954,0.1249,-1.097,0.281,1.7096,0.4449,2.3336,1.152,2.3336,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),2,-28.8747,452
RNF125,ENSG00000101695,Stim8hr,-0.8778,0.7585,0.0067,0.1224,-0.7873,-1.6363,-0.16,-2.3333,-0.2587,2.3333,Th1_vs_Th2,→Th2,skew-Th2,0,-11.2208,1
FBXL3,ENSG00000005812,Rest,0.6846,-0.8758,-0.369,0.7637,0.1557,1.5603,-0.9504,2.1297,-2.3329,2.3329,Effector_vs_Treg,→Th1; →Treg,suppress-inflammation,3,-20.0697,210
TNFAIP3,ENSG00000118503,Stim8hr,-0.6131,1.0225,-0.0382,0.0052,0.3809,-1.6356,0.1185,-2.3324,0.2605,2.3324,Th1_vs_Th2,→Th2,skew-Th2,2,-5.2517,33
OXSR1,ENSG00000172939,Rest,0.4711,1.2965,0.1646,-0.2729,-0.1687,-0.8254,0.917,-1.1295,2.331,2.331,Effector_vs_Treg,→Effector,boost-immunity,2,-9.8319,8
TBCCD1,ENSG00000113838,Stim8hr,0.4783,-0.4106,-0.7436,-1.4541,-0.4591,0.889,1.2288,0.9653,2.3308,2.3308,Effector_vs_Treg,→Effector,boost-immunity,0,-8.4344,0
FEM1C,ENSG00000145780,Rest,-0.9397,-0.6125,-0.4664,0.2767,-0.6306,-0.3272,-0.9495,-0.4488,-2.3307,2.3307,Effector_vs_Treg,→Treg,suppress-inflammation,0,-7.6785,0
IWS1,ENSG00000163166,Stim48hr,1.6756,0.0494,-0.4542,-0.2782,0.7796,1.6262,0.7018,2.3306,1.2892,2.3306,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),4,-13.9013,409
NCAPG2,ENSG00000146918,Stim48hr,0.7966,-0.0085,-0.5224,1.4739,-0.3663,0.8051,-1.3853,1.1142,-2.3295,2.3295,Effector_vs_Treg,→Treg,suppress-inflammation,6,-3.8587,1178
GNB5,ENSG00000069966,Stim48hr,-0.6699,-0.3634,-0.6904,-1.8758,-0.601,-0.3065,1.3012,-0.5323,2.3285,2.3285,Effector_vs_Treg,→Effector,boost-immunity,0,-16.4785,2
CD37,ENSG00000104894,Stim8hr,0.9491,-0.9822,0.0753,0.0623,0.1217,1.9314,-0.0483,2.3269,-0.0505,2.3269,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-15.9533,10
ATAD2B,ENSG00000119778,Stim48hr,0.3332,0.1686,-1.1511,1.166,-0.3254,0.1646,-1.3824,0.1655,-2.3244,2.3244,Effector_vs_Treg,→Treg,suppress-inflammation,0,-7.828,5
NDUFS8,ENSG00000110717,Stim48hr,0.414,-1.0755,0.252,1.2456,0.4194,1.4895,-1.3821,2.1281,-2.3238,2.3238,Effector_vs_Treg,→Th1; →Treg,suppress-inflammation,8,-6.8753,882
ARIH1,ENSG00000166233,Rest,0.7783,0.2058,0.3095,1.3779,1.1891,0.5726,-0.9467,0.7803,-2.3237,2.3237,Effector_vs_Treg,→Treg,suppress-inflammation,3,-13.3941,433
NECAP2,ENSG00000157191,Stim8hr,0.301,-0.1725,-0.5475,1.1272,-0.6094,0.4735,-1.2669,0.4226,-2.3226,2.3226,Effector_vs_Treg,→Treg,suppress-inflammation,0,-12.8055,7
CCDC6,ENSG00000108091,Rest,0.1543,0.8316,0.5247,1.4497,0.856,-0.6773,-0.9461,-0.9271,-2.3222,2.3222,Effector_vs_Treg,→Treg,suppress-inflammation,1,-8.1997,101
TUFM,ENSG00000178952,Rest,-0.0491,-0.6726,1.1056,-0.7853,0.3624,0.6235,0.9133,0.8499,2.3218,2.3218,Effector_vs_Treg,→Effector,boost-immunity,1,-11.0993,121
TRIB2,ENSG00000071575,Rest,0.2283,-0.0585,0.136,-0.8098,0.5729,0.2868,0.9117,0.39,2.3179,2.3179,Effector_vs_Treg,→Effector,boost-immunity,0,-13.8778,107
SLC25A28,ENSG00000155287,Stim48hr,-1.089,0.4228,-0.357,-0.1999,-0.2587,-1.5118,-0.1412,-2.3176,-0.1724,2.3176,Th1_vs_Th2,→Th2,skew-Th2,1,-8.5734,141
UFM1,ENSG00000120686,Stim8hr,1.2926,0.1708,0.1991,-0.6676,1.4059,1.1218,1.2217,1.2694,2.3175,2.3175,Effector_vs_Treg,→Effector,boost-immunity,10,-32.6117,2278
SARS2,ENSG00000104835,Rest,0.3004,0.1705,0.1568,-0.7021,0.3094,0.1299,0.9113,0.1756,2.3169,2.3169,Effector_vs_Treg,→Effector,boost-immunity,0,-3.8087,76
OASL,ENSG00000135114,Stim48hr,-0.7151,0.7958,-0.8405,0.3779,-0.4143,-1.5109,-0.6312,-2.3163,-1.0219,2.3163,Th1_vs_Th2,→Th2,skew-Th2,0,-8.2125,0
WDFY2,ENSG00000139668,Stim8hr,0.4457,-0.067,-0.5678,-1.284,0.0799,0.5127,1.221,0.4737,2.3162,2.3162,Effector_vs_Treg,→Effector,boost-immunity,0,-7.9591,1
